data,fold,depth,weight_seed,min_samples_leaf,min_samples_split,prediction_method,prediction_method_leaf,evaluation_method,mse_sum,mse,mse gap sum,mse gap,optimization_cost,optimization_cost_gap,optimization_regret,optimization_regret_gap,optimization_regret2,optimization_regret2_gap,training_duration,optimizatio_cost,nof_infeasibilities,use_brute_force,use_hashmaps,use_initial_solution
noisefree_df_size_500_targets_5_features_6_seed_1,1,5,1.0,5,10,sklearn,sklearn,sklearn,59.40160551665029,0.1188032110333006,0.0,0.0,102.05320357551982,0.0,1.645664519867045,0.0,270.8211711949231,0.0,0.0,,,,,
noisefree_df_size_500_targets_5_features_6_seed_1,1,5,,5,10,mean,optimal,mse,22079450287.308636,44158900.57461725,371697869.7102413,371697869.7102411,,0.017290860659266428,1.5444817333472778,0.06148445524482831,238.54238246434122,0.119188572252903,0.8399965763092041,100.28861585266375,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_1,1,5,,5,10,optimal,optimal,mse,85419092330.15913,170838184.66031832,1437992989.0415928,1437992989.041593,,-0.00014103102339122462,1.5048612991115449,0.08556009992053287,226.46075295636862,0.16379966914265412,43.45674252510071,102.06759624326043,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_1,2,5,1.0,5,10,sklearn,sklearn,sklearn,57.23868338276178,0.11447736676552353,0.0,0.0,102.29693200882024,0.0,2.116634566018032,0.0,448.0141886062343,0.0,0.0,,,,,
noisefree_df_size_500_targets_5_features_6_seed_1,2,5,,5,10,mean,optimal,mse,23490617419.619816,46981234.83923966,410397583.83847904,410397583.83847934,,0.008189840813779188,1.848303253457248,0.12677262143818635,341.6224916740648,0.2374739453300632,0.8540439605712891,101.45913641993,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_1,2,5,,5,10,optimal,optimal,mse,55180133745.086075,110360267.49017215,964035691.0177575,964035691.0177578,,-0.01317472566374793,1.6271246481956034,0.23126803543765725,264.7534620765666,0.40905116666012115,46.07826900482178,103.64466602427952,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_1,3,5,1.0,5,10,sklearn,sklearn,sklearn,66.64396817436425,0.1332879363487285,0.0,0.0,102.17337305404187,0.0,2.009009681676395,0.0,403.61199010694907,0.0,0.0,,,,,
noisefree_df_size_500_targets_5_features_6_seed_1,3,5,,5,10,mean,optimal,mse,14887231429.53624,29774462.85907247,223384527.82316318,223384527.82316312,,0.02800558341846432,2.077026852751437,-0.03385606933376536,431.404054705054,-0.06885837209826352,0.8046433925628662,99.31194813183103,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_1,3,5,,5,10,optimal,optimal,mse,4519224043.87601,9038448.087752018,67811447.92291103,67811447.92291103,,0.007456003418781827,1.7299663509146088,0.13889596118269665,299.2783575296808,0.25849983433252793,44.74572014808655,101.41156803524247,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_1,4,5,1.0,5,10,sklearn,sklearn,sklearn,61.239399909075665,0.12247879981815132,0.0,0.0,105.04898027004401,0.0,1.986863143214653,0.0,394.7625149864811,0.0,0.0,,,,,
noisefree_df_size_500_targets_5_features_6_seed_1,4,5,,5,10,mean,optimal,mse,10798807563.12827,21597615.126256537,176337578.7143938,176337578.7143938,,0.029954431852699262,1.782143263066817,0.10303672945314628,317.60346100944423,0.1954568912898917,0.8487634658813477,101.90229774934943,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_1,4,5,,5,10,optimal,optimal,mse,63499896139.20519,126999792.27841039,1036912448.0685043,1036912448.0685045,,0.006682610647596326,1.6494464627874925,0.1698238157869474,272.0673633602171,0.3108075031654558,43.20094156265259,104.34697883597228,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_2,0,5,2.0,5,10,sklearn,sklearn,sklearn,121.79527141309094,0.2435905428261819,0.0,0.0,95.72409778848898,0.0,3.8787035777241083,0.0,1504.4341443849798,0.0,0.0,,,,,
noisefree_df_size_500_targets_5_features_6_seed_2,0,5,,5,10,mean,optimal,mse,75751275259.52322,151502550.51904637,621955797.288744,621955797.2887437,,0.025764011913268336,2.8998181133411793,0.25237439385798743,840.8945090461598,0.4410559530407882,0.6571762561798096,93.25786099267948,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_2,0,5,,5,10,optimal,optimal,mse,48845555407.879814,97691110.81575961,401046401.22206306,401046401.222063,,-0.021439213696101016,2.7764152941838143,0.2841898746454555,770.8481885777796,0.48761586443991123,43.55605864524841,97.77634717684286,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_2,1,5,2.0,5,10,sklearn,sklearn,sklearn,128.97473073194772,0.2579494614638954,0.0,0.0,92.20310668348546,0.0,4.193937774711447,0.0,1758.9114058151602,0.0,0.0,,,,,
noisefree_df_size_500_targets_5_features_6_seed_2,1,5,,5,10,mean,optimal,mse,54859455367.61432,109718910.73522858,425350414.9790065,425350414.97900635,,0.013642649374136267,3.429688708141435,0.18222708767361107,1176.2764634752864,0.33124746386521614,0.7323033809661865,90.94521202779659,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_2,1,5,,5,10,optimal,optimal,mse,109284538210.1411,218569076.42028236,847332942.3598169,847332942.3598176,,-0.1029026824397585,2.2330144120195015,0.46756138694186083,498.6353364286799,0.7165091233247252,45.70459723472595,101.69105369049534,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_2,2,5,2.0,5,10,sklearn,sklearn,sklearn,90.54615073530825,0.18109230147061653,0.0,0.0,98.91463866610529,0.0,2.6562534174452996,0.0,705.5682217689834,0.0,0.0,,,,,
noisefree_df_size_500_targets_5_features_6_seed_2,2,5,,5,10,mean,optimal,mse,47586113333.257286,95172226.66651456,525545402.6071044,525545402.6071042,,0.07059612671418455,2.6823797831470637,-0.009835795609777168,719.5161301036089,-0.019768334094831575,0.7163662910461426,91.93164830094514,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_2,2,5,,5,10,optimal,optimal,mse,89368925121.4311,178737850.24286222,986998611.2621766,986998611.2621766,,0.021615717892658072,2.458938205621104,0.07428327829276439,604.6377099063135,0.1430485511516086,44.32210445404053,96.77652774124455,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_2,3,5,2.0,5,10,sklearn,sklearn,sklearn,120.25712720711194,0.24051425441422375,0.0,0.0,92.66614091166988,0.0,3.7424092897636894,0.0,1400.5627292109564,0.0,0.0,,,,,
noisefree_df_size_500_targets_5_features_6_seed_2,3,5,,5,10,mean,optimal,mse,48305384815.23367,96610769.63046734,401684173.0451698,401684173.04517,,0.0065096757072521,2.7825865250545,0.2564718849257122,774.2787769414879,0.4471659420940767,0.6695661544799805,92.06291438529239,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_2,3,5,,5,10,optimal,optimal,mse,39731085339.28674,79462170.67857344,330384453.2274836,330384453.2274836,,-0.046842775831062854,2.8077242156256967,0.24975490433250083,788.3315271010932,0.43713229642686524,42.99921631813049,97.00688017752492,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_2,4,5,2.0,5,10,sklearn,sklearn,sklearn,114.4738051767226,0.22894761035344513,0.0,0.0,89.75210974503038,0.0,3.9266696186324532,0.0,1541.8734293891137,0.0,0.0,,,,,
noisefree_df_size_500_targets_5_features_6_seed_2,4,5,,5,10,mean,optimal,mse,54101229145.93295,108202458.29186592,472607938.1037316,472607938.1037318,,0.06945284393753731,3.53186575955749,0.10054420091814653,1247.4075743534604,0.19097926549802463,0.8292863368988037,83.51857047384406,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_2,4,5,,5,10,optimal,optimal,mse,36238332934.22144,72476665.8684429,316564411.952617,316564411.95261717,,-0.09121057115600781,2.239753311909264,0.42960484852573205,501.6494898208517,0.6746493711746469,46.15503191947937,97.9384509373313,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_0,0,7,0.0,5,10,sklearn,sklearn,sklearn,115.01799545964657,0.2300359909192932,0.0,0.0,77.70096393463007,0.0,4.816414704356765,0.0,2319.7850604344067,0.0,0.0,,,,,
noisefree_df_size_500_targets_5_features_6_seed_0,0,7,,5,10,mean,optimal,mse,64322787403.71406,128645574.80742812,559241073.8132135,559241073.8132133,,0.0007217510541686505,3.7835264559438735,0.2144516848764239,1431.5072442827209,0.38291384460651084,1.3926217555999756,77.64488318200033,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_0,0,7,,5,10,optimal,optimal,mse,46587498190.359566,93174996.38071914,405045296.51350546,405045296.5135054,,-0.10244420787606444,3.0795907652049253,0.36060514838574176,948.387928113546,0.5911742237291806,63.209957122802734,85.6609776361199,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_0,1,7,0.0,5,10,sklearn,sklearn,sklearn,109.69585023954977,0.21939170047909964,0.0,0.0,82.90503243388092,0.0,4.0244259219299146,0.0,1619.6004001101444,0.0,0.0,,,,,
noisefree_df_size_500_targets_5_features_6_seed_0,1,7,,5,10,mean,optimal,mse,59958684740.33529,119917369.4806706,546590272.0996635,546590272.0996633,,0.038192060923020424,3.454338882741834,0.1416567357052245,1193.2457116822104,0.2632468406397892,1.3778526782989502,79.73871838434115,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_0,1,7,,5,10,optimal,optimal,mse,57290541086.96892,114581082.17393795,522267167.37382585,522267167.373826,,-0.020508919223502203,3.229572887337907,0.19750718487839272,1043.0141034628105,0.3560052816781979,63.43577575683594,84.60532504728921,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_0,2,7,0.0,5,10,sklearn,sklearn,sklearn,123.35854411882639,0.24671708823765287,0.0,0.0,78.4766515815531,0.0,4.365781639164379,0.0,1906.0049320864814,0.0,0.0,,,,,
noisefree_df_size_500_targets_5_features_6_seed_0,2,7,,5,10,mean,optimal,mse,51706887052.76025,103413774.10552049,419159348.0512749,419159348.0512747,,0.03877279539757517,3.8401984709563424,0.12038695739914165,1474.712429633543,0.2262808952864605,1.3843419551849365,75.43389242629475,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_0,2,7,,5,10,optimal,optimal,mse,16076063068.85606,32152126.13771212,130319817.40974572,130319817.40974566,,-0.06810594271927631,3.5364788472823228,0.1899551696407764,1250.6682637275305,0.3438273728082967,61.49837040901184,83.82137791896696,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_0,3,7,0.0,5,10,sklearn,sklearn,sklearn,131.69528992269466,0.26339057984538927,0.0,0.0,78.17442821407678,0.0,4.108003686821437,0.0,1687.569429093852,0.0,0.0,,,,,
noisefree_df_size_500_targets_5_features_6_seed_0,3,7,,5,10,mean,optimal,mse,42279866656.25592,84559733.31251183,321043118.1660254,321043118.16602534,,0.029375196467965676,3.5410723344996113,0.1380065344489718,1253.9193278158527,0.25696726534732833,1.405226469039917,75.8780390265174,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_0,3,7,,5,10,optimal,optimal,mse,21026316845.071495,42052633.690143,159658836.13391706,159658836.13391712,,-0.07248980928021348,2.991252575340298,0.271847640999861,894.7591969479965,0.46979414208253256,61.20789694786072,83.84127760590495,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_0,4,7,0.0,5,10,sklearn,sklearn,sklearn,128.13076662441662,0.2562615332488333,0.0,0.0,80.77809825029179,0.0,3.7726802637877808,0.0,1423.3116372773836,0.0,0.0,,,,,
noisefree_df_size_500_targets_5_features_6_seed_0,4,7,,5,10,mean,optimal,mse,42200151530.4153,84400303.06083062,329352211.9163132,329352211.9163133,,0.03734525529034914,3.3905126522226747,0.10129870141219144,1149.5576044882037,0.19233597591658638,1.4277241230010986,77.76141954926574,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_0,4,7,,5,10,optimal,optimal,mse,38226714791.595085,76453429.5831902,298341418.46287704,298341418.46287715,,0.015212841898162473,3.6257549600570815,0.03894454166735716,1314.6099030378527,0.07637240600903372,61.45562410354614,79.54923381277587,0.0,True,True,False
