data,fold,depth,weight_seed,min_samples_leaf,min_samples_split,prediction_method,prediction_method_leaf,evaluation_method,mse_sum,mse,mse gap sum,mse gap,optimization_cost,optimization_cost_gap,optimization_regret,optimization_regret_gap,optimization_regret2,optimization_regret2_gap,training_duration,optimizatio_cost,nof_infeasibilities,use_brute_force,use_hashmaps,use_initial_solution
noisefree_df_size_500_targets_5_features_6_seed_0,0,5,0.0,5,10,sklearn,sklearn,sklearn,148.58962499298062,0.2971792499859613,0.0,0.0,70.95987348601545,0.0,5.393762362229943,0.0,2909.2672420208332,0.0,0.0,,,,,
noisefree_df_size_500_targets_5_features_6_seed_0,0,5,,5,10,mean,optimal,mse,39348416309.31871,78696832.61863741,264812675.59957775,264812675.59957767,,-0.025862804332675456,4.027293814590279,0.25334237140449856,1621.909546903712,0.4425023856601423,1.7176735401153564,72.79509480945568,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_0,0,5,,5,10,optimal,optimal,mse,69462145786.77966,138924291.57355934,467476417.96304035,467476417.96304035,,-0.14848548094921737,3.3322902168758186,0.3821955820281726,1110.415808948629,0.6183177011344916,46.676581382751465,81.49638442868208,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_0,1,5,0.0,5,10,sklearn,sklearn,sklearn,114.05197901371871,0.22810395802743746,0.0,0.0,80.1916831673251,0.0,4.2384874410679565,0.0,1796.4775788090794,0.0,0.0,,,,,
noisefree_df_size_500_targets_5_features_6_seed_0,1,5,,5,10,mean,optimal,mse,71205126040.74689,142410252.08149388,624321704.3882248,624321704.3882251,,0.03419193735993697,3.4105121714000517,0.19534687342597926,1163.1593271267893,0.35253334589465307,0.8000106811523438,77.44977415968,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_0,1,5,,5,10,optimal,optimal,mse,62074488377.17013,124148976.75434032,544264893.9537606,544264893.9537609,,-0.07096039771879017,3.1079499153623753,0.2667313614643444,965.9352676400996,0.462317103740066,49.83063197135925,85.8821168986177,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_0,2,5,0.0,5,10,sklearn,sklearn,sklearn,141.52690417707666,0.28305380835415317,0.0,0.0,80.16342554654757,0.0,4.193181560785339,0.0,1758.2771601710174,0.0,0.0,,,,,
noisefree_df_size_500_targets_5_features_6_seed_0,2,5,,5,10,mean,optimal,mse,66789679742.74614,133579359.48549232,471922140.80831474,471922140.8083151,,0.07201772222618176,3.497522232770906,0.16590250575368437,1223.2661768726784,0.30428137009201756,0.8261427879333496,74.3902382328371,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_0,2,5,,5,10,optimal,optimal,mse,43893116525.67474,87786233.05134943,310139733.7797295,310139733.7797294,,-0.06616513075962008,3.210042461232419,0.23446137146725132,1030.4372602915087,0.41395060822419827,48.35783243179321,85.46744907997396,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_0,3,5,0.0,5,10,sklearn,sklearn,sklearn,136.3752828801737,0.27275056576034745,0.0,0.0,74.5250975669337,0.0,4.504765189741898,0.0,2029.2909414710357,0.0,0.0,,,,,
noisefree_df_size_500_targets_5_features_6_seed_0,3,5,,5,10,mean,optimal,mse,37789145386.43114,75578290.77286224,277096732.2814599,277096732.2814597,,0.03321764121286179,3.727698734870192,0.17249877011152895,1389.5737857952831,0.31524171453306776,0.8338756561279297,72.04954961460177,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_0,3,5,,5,10,optimal,optimal,mse,42622354619.50631,85244709.23901263,312537239.7619971,312537239.76199704,,-0.10701175398124942,2.9399677873593095,0.34736492058362844,864.3410590710394,0.5740674531151865,46.32575178146362,82.50015897319501,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_0,4,5,0.0,5,10,sklearn,sklearn,sklearn,138.71211847876654,0.27742423695753315,0.0,0.0,80.7062605610334,0.0,3.8318194410755226,0.0,1468.284022900433,0.0,0.0,,,,,
noisefree_df_size_500_targets_5_features_6_seed_0,4,5,,5,10,mean,optimal,mse,46340220803.911415,92680441.60782282,334074781.4495592,334074781.4495591,,0.09829970231532605,3.521340353813272,0.08102654418787145,1239.9837887393778,0.15548778751271383,0.812140941619873,72.77285917290068,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_0,4,5,,5,10,optimal,optimal,mse,60663858422.30303,121327716.84460601,437336398.21006036,437336398.21006006,,0.017331045021039656,3.3310951014399888,0.13067534818263501,1109.619457483749,0.244274649742617,46.655245542526245,79.30753672577038,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_1,0,5,1.0,5,10,sklearn,sklearn,sklearn,55.935231848798225,0.11187046369759646,0.0,0.0,101.75912796677568,0.0,1.8933469506285325,0.0,358.47626754543626,0.0,0.0,,,,,
noisefree_df_size_500_targets_5_features_6_seed_1,0,5,,5,10,mean,optimal,mse,29447002688.28779,58894005.37657561,526448209.09927505,526448209.09927535,,0.014170092882741682,1.7076131158071888,0.0980981508749286,291.5942553276735,0.18657305454477696,0.8313157558441162,100.31719167181967,0.0,True,True,False
noisefree_df_size_500_targets_5_features_6_seed_1,0,5,,5,10,optimal,optimal,mse,14346480194.088264,28692960.388176523,256483787.83758038,256483787.8375803,,-0.010089957732004034,1.122616318756411,0.4070731101958163,126.02673991381963,0.6484377033471374,46.29223108291626,102.78587326680604,0.0,True,True,False
